input1;22019;15665;21454;20051;24419;20006;20523;21497;16529;20932;19755;19778;26734;17329;16421;17718;18818;14798;14692;16179;18062;15691;16643;18496;17458
input2;19612;25535;19364;19936;19530;18278;14625;21020;20244;21133;20934;17853;17464;20850;27553;17726;18820;18570;13045;12493;13411;15776;18086;8099;17989
input3;21967;24059;17538;24534;19748;20334;16434;20899;12951;19467;15845;28969;22079;22117;15413;23124;17455;13314;16391;18755;17611;18206;18456;15609;16634
input4;23453;22879;26545;24167;19470;16775;18004;25526;20905;15468;22425;17209;14365;18857;23853;19946;17403;17097;13928;11990;16550;14923;17517;16691;11141
input5;18696;26317;21947;18819;18588;19647;16770;17906;19071;19705;20660;13408;22018;18840;18370;19348;13477;17250;17141;21223;18978;15167;18658;15621;13048
input6;188805;216320;173941;138875;158691;177994;165629;172178;181550;158254;197083;128926;139113;212466;226435;167775;157345;143350;167516;134483;125231;156146;93360;109432;97972
input7;241042;228187;222791;183099;213250;157461;175421;136139;162863;151018;135080;164051;106534;168789;138220;115944;160760;124634;123500;182910;112983;114102;108248;154322;113412
input8;172334;235238;198595;140251;161635;181174;209885;163076;191957;128535;157848;180509;164084;199712;125415;153263;139659;116422;136990;185487;134875;161427;135839;114278;115620
input9;205414;217831;164576;148484;154092;219998;184978;162872;138288;126245;160144;134289;171159;182272;148472;126630;133375;142151;162128;103963;170095;101055;133922;168846;125344
input10;186612;161827;161175;178155;166588;224185;150184;148501;216954;165829;192122;174970;176517;122388;172595;146007;136878;94216;229852;127487;176942;121448;156644;144875;174350
input11;28254;22185;17823;17957;23252;22335;27427;18774;24034;25558;31597;30588;30234;21263;16501;23139;25059;22740;19134;16820;17113;16793;20570;24349;14309
input12;21313;21511;20608;27081;22124;25788;24091;24370;28863;17257;24073;21130;24180;18483;13345;20924;16878;29580;18121;22853;17095;28276;23773;13187;20965
input13;22004;17572;21073;18312;24294;18711;31477;22820;26581;20688;19017;21449;24243;26882;15217;24345;18710;22812;24119;14157;15540;30047;9965;18164;32634
input14;20675;20055;21252;33450;23487;25416;28455;27445;18908;21747;21144;22962;25825;17064;27566;16178;17780;21940;9119;26371;20143;11427;33342;25400;23467
input15;21632;23018;18283;22739;27632;25211;23239;26581;25595;22216;18584;30906;33705;20139;24428;22438;16026;26372;17129;13840;14714;19342;25572;14490;15324
input16;29288;18699;19801;26242;21105;11120;22366;20489;23309;20574;16166;23301;15775;15720;15857;16379;26670;12041;24544;21860;14161;16279;15208;8193;19793
input17;24853;20616;21220;23946;22908;19204;22745;17064;14298;19344;21327;13573;14441;20627;18037;19536;11112;14881;14760;18369;16710;14655;15519;12323;12318
input18;22402;24698;21130;19921;17185;15040;17652;21161;20381;14580;17099;15725;9144;16616;16902;26755;19531;13061;15112;22159;17525;16446;12356;13370;15274
input19;22931;19110;21396;20572;20671;26377;21767;21789;16956;18311;18618;19786;17458;11450;26243;14643;25586;8960;19680;18532;17977;15875;15290;14704;11548
input20;20151;23256;16363;16647;23398;17946;24776;21335;15981;21223;19794;19607;16940;13437;18778;17924;14526;14908;15425;21182;8913;9951;17159;12843;14145
input21;58217;60207;82792;22406;22620;25190;46371;41187;17374;41547;27325;20674;25105;22506;23361;23737;19002;19262;12411;9001;17442;17370;3279;6531;11106
input22;41424;27486;37106;25660;38099;32658;15819;15980;28009;15867;25835;18188;23418;19505;27526;12114;7054;18703;7228;11607;18889;19553;2546;14569;16954
input23;73827;41113;65805;33019;12100;18479;27057;13334;31891;26516;16530;18995;27792;13625;23951;12144;34934;11507;9941;18468;18145;19170;3342;6005;5320
input24;23868;33224;23427;29341;24391;22957;44991;20864;25224;14559;25843;13222;22917;28347;21991;21351;19478;21258;12117;5117;27744;9512;16966;6667;16280
input25;54396;32242;93790;30341;36221;37953;19877;33984;18083;39209;27581;21926;23797;29084;14629;17225;35032;9716;20638;10762;7382;10431;15659;10316;5018
input26;245901;187244;233819;227748;216557;200921;160234;214310;207862;191058;223464;131116;145899;158860;115322;114030;142840;95388;88481;59508;106124;67879;41825;55382;19756
input27;237909;219981;231029;200089;183294;216074;204954;238737;179604;120662;214969;138649;172718;138730;184662;140826;120709;109691;85300;55563;73418;67994;40696;47325;44787
input28;229597;221433;261335;228875;164023;210941;218029;228981;207389;223106;202795;194889;133974;122802;67343;168053;110934;102631;87277;63060;67628;60630;52313;26561;35076
input29;184979;216962;247784;268542;259465;196721;223688;168088;226785;232883;176680;170597;182463;145185;142041;108066;104990;135145;78365;93253;76616;87004;45084;42827;35771
input30;240919;248467;210342;218355;245826;224097;236898;208274;203911;229176;178129;152214;129333;140074;135433;97977;94074;109824;116815;29813;72658;112641;38730;44582;47441
